Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4021500 2690500  1  3 21  -6.9  997 280  1.6 8  1.9  78    0    0 241 -299  3
4021500 2690500  1  3 22  -6.7  997 271  1.2 4  1.9  80    0    0 231 -298  3
4021500 2690500  1  3 23  -7.0  996 323  1.3 4  1.9  81    0    0 216 -297  3
4021500 2690500  1  3 24  -6.4  996 307  1.3 8  1.9  83    0    0 234 -296  3
4021500 2690500  1  4  1  -6.2  996 312  1.2 7  2.0  83    0    0 249 -295  3
4021500 2690500  1  4  2  -6.2  995 219  1.2 7  2.0  83    0    0 247 -296  3
4021500 2690500  1  4  3  -6.3  994 207  1.7 7  2.0  83    0    0 248 -296  3
4021500 2690500  1  4  4  -5.9  993 206  1.6 8  2.0  82    0    0 253 -296  3
4021500 2690500  1  4  5  -5.5  993 225  1.5 8  2.0  81    0    0 258 -296  3
4021500 2690500  1  4  6  -5.3  992 221  2.2 7  2.1  80    0    0 256 -296  3
4021500 2690500  1  4  7  -4.6  991 222  3.1 8  2.1  78    0    0 258 -297  3
4021500 2690500  1  4  8  -4.6  991 223  2.5 8  2.2  78    0    0 264 -297  3
4021500 2690500  1  4  9  -4.8  990 218  3.2 8  2.2  82    0    4 265 -298  3
4021500 2690500  1  4 10  -4.4  990 213  3.6 8  2.4  86    1   41 266 -299  3
4021500 2690500  1  4 11  -4.0  990 217  3.0 8  2.4  86    1   70 268 -303  3
4021500 2690500  1  4 12  -3.7  990 206  2.5 7  2.5  87    0   56 266 -308  3
4021500 2690500  1  4 13  -3.3  990 200  3.4 8  2.6  86    0   30 268 -312  3
4021500 2690500  1  4 14  -3.3  989 186  3.6 8  2.5  84    0   28 275 -315  3
4021500 2690500  1  4 15  -3.5  988 181  3.1 8  2.6  85    0   19 276 -315  3
4021500 2690500  1  4 16  -3.4  988 214  3.6 8  2.6  88    0    7 276 -314  3
4021500 2690500  1  4 17  -3.4  988 229  4.2 8  2.7  89    0    0 276 -312  3
4021500 2690500  1  4 18  -3.2  988 230  3.6 8  2.8  91    0    0 276 -310  3
4021500 2690500  1  4 19  -2.6  988 226  3.2 8  2.9  91    0    0 276 -308  3
4021500 2690500  1  4 20  -1.9  988 242  3.7 8  3.0  92    0    0 275 -305  3
4021500 2690500  1  4 21  -1.3  988 226  4.2 8  3.2  94    0    0 277 -304  3
4021500 2690500  1  4 22  -0.6  988 226  4.2 8  3.4  94    0    0 277 -302  3
4021500 2690500  1  4 23   0.1  988 218  3.8 7  3.6  93    0    0 273 -301  3
4021500 2690500  1  4 24   0.5  988 226  4.4 7  3.7  92    0    0 270 -299  3
4021500 2690500  1  5  1   0.7  989 279  7.0 7  3.7  91    0    0 270 -298  3
4021500 2690500  1  5  2   1.1  989 296  6.6 7  3.8  91    0    0 270 -296  3
4021500 2690500  1  5  3   1.4  989 298  5.4 7  3.9  92    0    0 272 -295  3
4021500 2690500  1  5  4   1.4  989 332  5.6 8  4.0  92    0    0 277 -293  3
4021500 2690500  1  5  5   1.4  990   1  4.4 8  4.0  92    0    0 282 -292  3
4021500 2690500  1  5  6   1.2  990   8  4.3 8  3.9  91    0    0 281 -290  3
4021500 2690500  1  5  7   0.5  990  20  3.5 7  3.8  91    0    0 275 -289  3
4021500 2690500  1  5  8   0.2  991  16  3.9 8  3.6  90    0    0 273 -288  3
