Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4021500 2690500  1  5  6  -8.4  986 225  2.0 3  1.8  88    0    0 196 -277  0
4021500 2690500  1  5  7  -8.7  986 215  2.4 5  1.8  88    0    0 205 -276  0
4021500 2690500  1  5  8  -9.0  985 205  2.5 5  1.8  90    0    0 213 -276  0
4021500 2690500  1  5  9 -10.8  985 185  0.9 5  1.6  89    2   10 209 -276  0
4021500 2690500  1  5 10  -9.7  984 121  0.3 4  1.6  87   48   41 200 -276  0
4021500 2690500  1  5 11  -8.8  985 245  1.0 2  1.6  84  110   65 183 -276  0
4021500 2690500  1  5 12  -6.8  984 302  1.3 1  1.7  80  183   65 164 -277  0
4021500 2690500  1  5 13  -6.0  983 292  1.2 1  1.9  79  164   85 157 -278  0
4021500 2690500  1  5 14  -6.8  982 234  0.9 1  1.9  77  140   83 158 -279  0
4021500 2690500  1  5 15  -6.5  982   1  0.7 0  1.9  78  118   56 159 -279  0
4021500 2690500  1  5 16  -7.7  981 104  0.9 0  1.9  82   30   36 160 -277  0
4021500 2690500  1  5 17  -8.9  981 102  0.7 0  1.8  86    0    0 161 -274  0
4021500 2690500  1  5 18  -9.1  981  77  0.7 0  1.7  87    0    0 164 -270  0
4021500 2690500  1  5 19 -10.1  981 157  0.7 1  1.7  88    0    0 166 -269  0
4021500 2690500  1  5 20 -10.8  981 127  0.9 0  1.5  86    0    0 168 -269  0
4021500 2690500  1  5 21 -11.0  981 137  0.4 1  1.4  84    0    0 172 -268  0
4021500 2690500  1  5 22 -12.9  980 168  0.8 1  1.3  80    0    0 173 -266  0
4021500 2690500  1  5 23 -12.1  979   2  0.2 2  1.2  79    0    0 172 -265  0
4021500 2690500  1  5 24 -14.2  979 124  0.5 1  1.1  79    0    0 173 -264  0
4021500 2690500  1  6  1 -13.9  979  59  0.0 2  1.1  80    0    0 174 -263  0
4021500 2690500  1  6  2 -14.0  978 168  0.0 5  1.1  81    0    0 171 -262  0
4021500 2690500  1  6  3 -13.2  978 281  0.8 6  1.1  79    0    0 191 -261  0
4021500 2690500  1  6  4 -12.9  978 284  1.4 7  1.1  78    0    0 207 -262  0
4021500 2690500  1  6  5 -13.6  978 251  0.5 8  1.1  79    0    0 217 -264  0
4021500 2690500  1  6  6 -12.9  977 281  1.2 7  1.1  81    0    0 218 -267  0
4021500 2690500  1  6  7 -12.4  977 118  0.5 8  1.2  81    0    0 220 -269  0
4021500 2690500  1  6  8 -11.8  977 281  0.5 8  1.3  81    0    0 226 -270  0
4021500 2690500  1  6  9 -11.4  978 321  0.3 8  1.3  82    1   12 228 -270  0
4021500 2690500  1  6 10 -10.9  978 248  0.3 7  1.4  82   16   61 226 -271  0
4021500 2690500  1  6 11 -10.5  979 183  0.5 5  1.4  83   47  115 216 -274  0
4021500 2690500  1  6 12  -9.8  979 272  0.7 6  1.5  85   51  147 214 -278  0
4021500 2690500  1  6 13  -8.8  978 253  0.9 7  1.7  86   24  143 224 -282  0
4021500 2690500  1  6 14  -8.1  978 283  1.0 6  1.8  87   13  121 227 -286  0
4021500 2690500  1  6 15  -7.8  978 277  1.0 6  1.9  88    4   74 226 -288  0
4021500 2690500  1  6 16  -7.1  978 249  2.3 8  2.0  87    1   35 235 -287  0
4021500 2690500  1  6 17  -6.9  978 212  1.9 8  2.0  87    0    0 243 -283  0
4021500 2690500  1  6 18  -6.9  978 232  1.7 8  2.0  86    0    0 243 -279  0
4021500 2690500  1  6 19  -7.0  979 265  1.8 8  2.0  85    0    0 243 -278  0
4021500 2690500  1  6 20  -6.8  979 246  1.5 8  2.0  85    0    0 244 -277  0
4021500 2690500  1  6 21  -6.9  979 221  2.5 8  2.0  85    0    0 245 -278  0
4021500 2690500  1  6 22  -6.6  980 233  2.7 8  2.0  85    0    0 245 -279  0
4021500 2690500  1  6 23  -6.7  980 240  1.4 8  2.0  85    0    0 246 -279  0
4021500 2690500  1  6 24  -6.9  980 254  2.2 8  2.0  86    0    0 245 -279  0
4021500 2690500  1  7  1  -6.9  980 238  2.7 8  2.0  86    0    0 244 -280  0
4021500 2690500  1  7  2  -7.0  981 247  1.7 8  2.0  86    0    0 244 -280  0
4021500 2690500  1  7  3  -6.8  981 236  2.4 8  2.0  85    0    0 243 -280  0
4021500 2690500  1  7  4  -6.7  981 253  1.8 7  2.0  85    0    0 239 -280  0
4021500 2690500  1  7  5  -6.6  982 219  2.5 7  2.0  84    0    0 235 -281  0
